122, 0, 34, 67, 0.7724
166, 0, 47, 42, 0.7502
198, 0, 7, 8, 0.2299
926, 0, 32, 29, 0.7418
141, 9, 17, 50, 0.2332
275, 11, 16, 35, 0.6963
152, 14, 97, 57, 0.7337
906, 18, 24, 21, 0.7504
470, 22, 18, 20, 0.2309
914, 34, 15, 11, 0.2190
848, 59, 39, 13, 0.7070
214, 68, 41, 12, 0.6043
313, 69, 30, 14, 0.5954
785, 77, 41, 18, 0.5915
159, 78, 33, 29, 0.7308
975, 79, 23, 6, 0.4578
249, 83, 57, 8, 0.2460
794, 87, 49, 13, 0.6112
292, 94, 3, 6, 0.2447
30, 104, 13, 15, 0.7461
85, 113, 31, 10, 0.4848
5, 116, 31, 9, 0.2353
44, 119, 32, 11, 0.4659
0, 125, 17, 7, 0.4251
804, 128, 37, 7, 0.5611
90, 140, 16, 10, 0.2181
100, 150, 31, 18, 0.2335
355, 164, 64, 11, 0.2229
381, 169, 11, 8, 0.2238
424, 176, 11, 7, 0.5131
730, 182, 50, 19, 0.8164
969, 199, 27, 19, 0.6370
994, 199, 29, 18, 0.6256
669, 206, 48, 20, 0.7922
538, 215, 46, 18, 0.7411
76, 221, 94, 25, 0.6794
300, 221, 68, 18, 0.8272
754, 226, 40, 8, 0.5174
0, 229, 14, 15, 0.6763
927, 231, 55, 19, 0.7732
965, 232, 20, 13, 0.5794
792, 234, 132, 20, 0.6646
374, 245, 52, 19, 0.8129
213, 250, 164, 19, 0.2358
892, 278, 70, 9, 0.5692
753, 298, 58, 19, 0.8324
480, 302, 144, 17, 0.2486
254, 310, 56, 18, 0.8366
69, 315, 90, 20, 0.7089
853, 320, 131, 20, 0.2404
530, 327, 58, 19, 0.8232
341, 335, 62, 19, 0.8582
76, 336, 137, 20, 0.6860
0, 339, 38, 11, 0.5526
925, 343, 43, 18, 0.6649
170, 362, 59, 20, 0.2435
271, 364, 12, 11, 0.2403
225, 365, 8, 13, 0.2280
292, 365, 4, 7, 0.6237
949, 389, 52, 41, 0.7792
217, 417, 18, 7, 0.2309
232, 428, 21, 25, 0.2365
329, 436, 13, 18, 0.5754
114, 441, 9, 8, 0.2453
538, 441, 6, 8, 0.5161
426, 442, 106, 44, 0.2263
112, 448, 22, 10, 0.2453
578, 456, 15, 8, 0.2440
749, 456, 84, 23, 0.2211
115, 459, 36, 12, 0.4731
352, 460, 86, 23, 0.6768
6, 465, 27, 4, 0.3679
220, 467, 34, 11, 0.2301
0, 476, 27, 13, 0.5399
226, 478, 66, 21, 0.6594
144, 483, 6, 5, 0.5254
361, 483, 34, 13, 0.2336
313, 485, 40, 13, 0.4876
178, 487, 45, 8, 0.2263
499, 487, 8, 12, 0.2371
192, 490, 59, 10, 0.4990
83, 493, 36, 7, 0.2431
408, 502, 56, 56, 0.8555
316, 518, 45, 29, 0.2220
493, 520, 34, 22, 0.2192
349, 538, 13, 4, 0.3957
542, 541, 15, 13, 0.6728
1011, 545, 8, 11, 0.4953
