257, 382, 45, 19, 0.8187
383, 384, 43, 22, 0.8185
571, 532, 63, 41, 0.8033
450, 441, 44, 45, 0.7869
701, 203, 40, 18, 0.7651
316, 367, 53, 19, 0.7617
903, 342, 44, 17, 0.7527
155, 335, 44, 19, 0.7515
230, 247, 56, 20, 0.7457
240, 358, 56, 19, 0.7425
190, 361, 42, 17, 0.7383
943, 227, 58, 20, 0.7350
983, 197, 39, 19, 0.7261
614, 134, 56, 23, 0.7224
399, 244, 44, 17, 0.7212
534, 326, 40, 17, 0.7103
344, 334, 44, 17, 0.7099
156, 198, 41, 17, 0.7074
135, 225, 51, 18, 0.7049
978, 389, 22, 41, 0.6964
257, 309, 38, 16, 0.6942
824, 231, 43, 19, 0.6893
492, 482, 41, 39, 0.6875
553, 211, 45, 18, 0.6776
465, 299, 54, 19, 0.6737
121, 362, 48, 16, 0.6717
324, 219, 46, 16, 0.6648
417, 400, 46, 45, 0.6587
547, 241, 48, 20, 0.6214
921, 318, 54, 18, 0.6207
57, 311, 54, 21, 0.6115
0, 336, 25, 19, 0.6043
527, 508, 55, 33, 0.6003
81, 413, 58, 22, 0.5854
744, 180, 49, 18, 0.5244
0, 363, 88, 38, 0.4343
867, 260, 49, 20, 0.4117
0, 226, 33, 17, 0.3897
520, 325, 54, 18, 0.3216
313, 407, 52, 21, 0.2018
137, 334, 63, 20, 0.1264
1, 364, 86, 36, 0.1116
0, 364, 87, 36, 0.1060
1, 364, 87, 36, 0.1056
