395, 100, 11, 18
391, 84, 21, 20
160, 13, 65, 29
157, 0, 16, 17
147, 0, 81, 62
120, 0, 44, 68
979, 172, 43, 19
269, 382, 46, 18
383, 384, 43, 23
217, 359, 43, 18
318, 343, 55, 19
627, 208, 50, 19
16, 249, 49, 19
275, 318, 52, 20
234, 192, 43, 19
573, 533, 61, 40
614, 134, 57, 23
486, 481, 44, 39
452, 445, 42, 42
497, 330, 39, 19
580, 236, 48, 19
128, 361, 54, 18
320, 367, 55, 21
526, 506, 54, 35
463, 241, 42, 20
195, 219, 47, 18
231, 307, 42, 17
418, 400, 44, 43
407, 192, 49, 18
727, 348, 51, 19
0, 159, 87, 35
82, 412, 57, 22
878, 289, 60, 21
434, 304, 44, 18
898, 319, 56, 18
834, 228, 55, 20
627, 300, 55, 19
788, 466, 58, 27
64, 336, 65, 21
172, 249, 50, 21
0, 336, 16, 20
865, 261, 47, 17
