382, 384, 43, 23
262, 382, 46, 19
318, 367, 55, 22
719, 233, 57, 22
356, 332, 41, 18
125, 361, 49, 17
521, 507, 58, 34
147, 332, 53, 20
265, 352, 50, 24
573, 532, 60, 40
430, 195, 40, 18
454, 447, 40, 41
197, 361, 45, 17
612, 134, 57, 23
605, 238, 42, 19
166, 247, 52, 20
491, 483, 39, 37
758, 323, 39, 17
414, 400, 47, 44
784, 203, 42, 18
80, 413, 56, 22
0, 339, 22, 21
0, 313, 22, 18
990, 223, 33, 21
543, 186, 48, 19
288, 307, 42, 17
3, 252, 49, 19
340, 216, 47, 19
708, 293, 57, 18
84, 223, 49, 19
996, 291, 27, 21
0, 364, 85, 36
514, 472, 54, 27
