262, 382, 46, 19
382, 384, 43, 23
362, 332, 41, 18
318, 367, 54, 22
713, 234, 54, 20
520, 507, 59, 34
151, 332, 55, 20
269, 351, 48, 24
128, 361, 47, 17
196, 360, 47, 17
613, 134, 57, 24
596, 238, 42, 20
420, 195, 40, 18
574, 533, 59, 40
453, 446, 41, 41
0, 339, 28, 20
0, 313, 27, 19
491, 483, 39, 37
768, 203, 50, 19
981, 223, 42, 20
156, 248, 55, 20
79, 413, 56, 22
415, 400, 46, 44
766, 323, 39, 17
0, 253, 44, 19
296, 307, 43, 17
536, 186, 48, 20
0, 364, 84, 36
74, 222, 52, 20
1004, 290, 19, 21
332, 216, 48, 19
513, 472, 54, 27
719, 293, 54, 18
