266, 382, 46, 19
296, 344, 56, 22
199, 360, 52, 18
382, 384, 43, 23
573, 533, 60, 40
236, 324, 54, 20
55, 248, 50, 20
521, 506, 59, 36
123, 361, 57, 19
613, 134, 57, 23
190, 308, 44, 18
456, 331, 39, 18
453, 447, 41, 41
503, 241, 42, 19
677, 207, 42, 17
621, 236, 48, 19
291, 192, 40, 18
319, 368, 56, 21
411, 400, 51, 45
78, 412, 58, 23
847, 318, 59, 20
215, 249, 50, 20
488, 482, 42, 38
234, 217, 48, 20
883, 228, 49, 18
56, 311, 49, 19
395, 305, 41, 18
829, 289, 56, 21
0, 365, 86, 35
0, 227, 24, 16
