259, 382, 45, 19
383, 384, 43, 23
788, 233, 43, 20
316, 366, 56, 21
554, 325, 54, 17
663, 203, 40, 18
944, 317, 57, 19
953, 197, 51, 18
240, 358, 57, 19
949, 342, 45, 17
452, 443, 43, 43
120, 198, 40, 17
918, 228, 48, 18
364, 335, 59, 18
181, 334, 48, 19
116, 361, 53, 18
572, 532, 61, 41
193, 248, 58, 20
502, 298, 54, 19
613, 133, 57, 23
191, 362, 43, 16
713, 181, 50, 18
978, 383, 26, 43
492, 482, 40, 38
514, 242, 49, 21
520, 212, 47, 19
364, 244, 45, 17
1, 335, 53, 19
81, 413, 56, 22
412, 399, 51, 46
528, 508, 53, 33
99, 225, 57, 18
292, 308, 38, 16
0, 364, 87, 37
