492, 302, 34, 16, 0.1829
768, 299, 38, 17, 0.0286
257, 382, 45, 19, 0.6920
383, 384, 43, 22, 0.6905
450, 442, 44, 45, 0.6526
315, 366, 54, 20, 0.6492
693, 204, 40, 17, 0.6480
815, 232, 43, 18, 0.6437
157, 335, 48, 19, 0.6303
528, 326, 53, 17, 0.6278
355, 334, 41, 17, 0.6227
151, 198, 38, 17, 0.6191
572, 532, 61, 41, 0.6106
938, 227, 55, 19, 0.6102
222, 248, 56, 19, 0.6091
921, 317, 59, 19, 0.6038
190, 361, 42, 17, 0.6029
982, 197, 41, 18, 0.5834
491, 483, 40, 38, 0.5775
895, 342, 63, 19, 0.5643
242, 358, 54, 19, 0.5639
388, 244, 47, 18, 0.5618
613, 134, 56, 23, 0.5450
473, 298, 54, 18, 0.5388
265, 309, 37, 16, 0.5261
411, 399, 51, 46, 0.5259
118, 362, 50, 17, 0.5228
978, 387, 23, 42, 0.5060
124, 224, 52, 18, 0.5030
529, 509, 52, 32, 0.4890
738, 180, 49, 18, 0.4488
540, 241, 48, 20, 0.3293
0, 337, 30, 19, 0.3101
